index,n0,n1,result
520,0x77caec2a,0xd25df225,0xefffffff
521,0x47b88bbd,0x77f41f9e,0xefffffff
522,0x2e4331d5,0x6fc11fbf,0x5e9340c6
523,0xa1abb9a5,0x2d8b6d07,0x8fbb0ddf
524,0x27d25e46,0x6b63c9ce,0x53bb2f6e
525,0x36e40fc4,0x8e194aa0,0x85888fe7
526,0x17cd3ebd,0xe531f663,0xbd8eadeb
527,0x1fc56cee,0x9167968a,0x80000000
528,0xcf9b1d14,0x33237dd2,0xc3461f81
529,0x8a7638e5,0xc6579dd2,0x114f6193
530,0x6e9bf150,0xde0d49b1,0xefffffff
531,0x949e4d63,0x0ff08967,0x80000000
532,0x412027fa,0x0a56e826,0x0c0672a7
533,0xab37310a,0x3b280b69,0xa6f080b0
534,0x33d140cf,0x87cf999e,0x800054d8
535,0xd08efa7c,0xce9e4d03,0x5fb0d337
536,0xdd125cec,0xdf2bf87d,0x7cc4a446
537,0xd03fde6e,0x625b74ed,0xf3247aea
538,0x9778b1e6,0xa29e6ddc,0x0000099f
539,0xf6a52ad4,0x96cc8bce,0x4e03f855
540,0xb41b45b7,0x0dafc7da,0x82553bbe
541,0xb9935818,0x6aa8aaca,0xe4c22838
542,0x0c0f108e,0x2605413f,0x00000000
543,0x571926bb,0xd6cdb918,0xee76257d
544,0xcba8ce8f,0xa4bbae84,0x30f783eb
545,0xeeef0b98,0x8a5b41fd,0x39ccbc8a
546,0x1719dafe,0xaa2d088c,0x81cffc42
547,0x8e9a2bf1,0x3674e2cd,0x85937a78
548,0x1ebce74c,0xecef541d,0xcc309a01
549,0x1a15a729,0xb0a413fc,0x8b3fd58a
550,0x07b68d36,0x4e07458a,0x1640ec1b
551,0xf764ca5d,0x2833a084,0xe02088f3
552,0x532c634f,0x302ca1f2,0x43e87f8d
553,0x3ee7d3da,0x4692d7f4,0x4604fa62
554,0x253da285,0xa1ae56a7,0x878124a7
555,0xb0397752,0xc7c0ce29,0x388baed9
556,0xbc66e753,0xd2a1bbb8,0x4f91e0cc
557,0x3f9b27b9,0xcb52d2ea,0xcb7f8cd3
558,0x9c384410,0xc5f49367,0x22b00af8
559,0x15f7df8a,0x9fe7d334,0x80000007
560,0xbf56eee7,0x4179bcbe,0xc151acd6
561,0x3c93519a,0x2f9a631c,0x2cb1b03f
562,0x6ed82b19,0xe3a5fc51,0xefffffff
563,0xe6402acb,0x7537b20a,0xefffffff
564,0xe53cab1c,0x8b8989ad,0x314aba11
565,0x071e526e,0xc38f02c6,0x8b30e384
566,0xc38cd269,0x920a6a45,0x161847c3
567,0x3733522d,0x8e37ccae,0x8600bf1d
568,0xcf457d6b,0x9dcc2dde,0x2d9d8354
569,0xac0d7cac,0xa8055a60,0x14936770
570,0x1841e0f8,0x24987f07,0x0001cdf7
571,0xc3190792,0xf398505e,0x77361913
572,0x25bab95d,0x54b677d5,0x3b051730
573,0x43032ca7,0xde332fe7,0xe1b7a189
574,0xab0b90d7,0xdc92e538,0x48202b24
575,0xd7146958,0x3b3f6920,0xd2ddef14
576,0x97ade15f,0xcb5c0420,0x2395707b
577,0xf0d92171,0x941a290b,0x4582c0ee
578,0x754c8aa4,0xde2ca436,0xefffffff
579,0x23727f76,0x4288ac56,0x268176f6
580,0xc48e2d77,0x17e95978,0x9d019912
581,0x6d6d8350,0x4d0275ec,0x7af2142e
582,0x65121a05,0x1313481c,0x38a81c31
583,0x77ef9ddf,0x458c2747,0x7e032f19
584,0x5d4367eb,0xaead04a2,0xcc8410c3
585,0xf582d098,0x9012840d,0x4615bce2
586,0xecebd576,0x4f9e1017,0xfd119c92
587,0xba296202,0xf44b3973,0x6f0676ba
588,0x59b8cfa5,0x17148d7f,0x31567c63
589,0xdd8f6409,0x1d07ba8c,0xbb180c7b
590,0x5b325d11,0x4ce93af2,0x68a27fc5
591,0xc5836e7a,0xd21ed401,0x5823160f
592,0xda493f62,0x3bced002,0xd6a29486
593,0xbe7a8d7c,0xa1888de7,0x2085a60c
594,0xd9ccbba2,0x37ab5d91,0xd2090c29
595,0xa0d58df3,0xb1efa3ad,0x1347e80f
596,0x67289b65,0x071984e0,0x2eca38c5
597,0x9a644b48,0xa38311cf,0x00074e26
598,0xd1686083,0x459aeac2,0xd78c9f27
599,0x1b43c72f,0xd01d0e8e,0xabf03892
600,0x19992937,0x6f41272f,0x49671f07
601,0xf2db510b,0x0f742c60,0xc2d12f42
602,0x9a99a342,0x3c299fde,0x974b9970
603,0x16c99a3f,0x346519dc,0x0bb46b58
604,0xa9f82e44,0x149618cc,0x80123065
605,0x74001a99,0x72f64033,0xefffffff
606,0x5089c52f,0x3727306c,0x4833f361
607,0xd912bc82,0x26df2c5c,0xc07fd745
608,0x281fd975,0xabaefa33,0x945a8410
609,0xca944d2a,0x1aa1a157,0xa5bb43fc
610,0xb5f204e6,0x31297046,0xa7a02f60
611,0xdc26bb5e,0xf5aaadfc,0xefffffff
612,0x4c097a33,0xbe498528,0xcad870e9
613,0x575cf183,0xed1c3887,0xefffffff
614,0x27194004,0xc708422e,0xaea32340
615,0xef12fc6b,0xdebaa1b5,0xefffffff
616,0xe9641cb7,0x50ad6676,0xfa9a82b4
617,0xc45779b0,0xa014a69c,0x24fa3d2b
618,0x4e087c59,0x100acb0d,0x1e93fe93
619,0x1a49d242,0x401b4807,0x1af4d62d
620,0x192d47fa,0x3a32692c,0x13f18678
621,0xa4058294,0x52656cad,0xb6ef4cf7
622,0xaffcf776,0x32cc9a44,0xa34a2da2
623,0x70f8d37a,0x28378f83,0x59b26aaa
624,0x22002429,0x4ed7283b,0x31576504
625,0x611003a0,0xb59c5c67,0xd72fec61
626,0x8c347815,0xe932b364,0x35fbf3ea
627,0x7219ce3a,0xeca17d74,0xefffffff
628,0x51f3406f,0x4e0cd2f6,0x6085cfb1
629,0xe60db283,0x1c98b150,0xc3290845
630,0x69ec7233,0xe9eae3c5,0xefffffff
631,0xbeb2550c,0x9086b459,0x0fbbac4c
632,0x12952f53,0x3974e5fe,0x0c8eb722
633,0xd85847ea,0x66276830,0xff0d6ef0
634,0xadc9d5cb,0xa2b3cd80,0x110dc282
635,0x11a7e193,0x96481699,0x80000000
636,0xacbe02e8,0xdca988dc,0x49fbab01
637,0xda02842b,0x2f1b1bce,0xc99e2866
638,0xf4832263,0x9aa1e98f,0x4fa5e087
639,0x0b0b8042,0x370db31b,0x029a6e7c
640,0xd3d1c1e4,0xe5acde46,0x7a0da464
641,0x10ca3c6e,0xb497499a,0x85ef0793
642,0xe5d0c218,0xda5e21cc,0xefffffff
643,0x0edb4a63,0x75c855a2,0x452b9b77
644,0x9e0969b8,0xb539ff34,0x13c7acc4
645,0x60550a97,0xcea0faf7,0xef85f778
646,0x0b823668,0x8e46e3f0,0x80000000
647,0xb1c00072,0x1167efee,0x83adf45a
648,0x70911851,0xe75dac23,0xefffffff
649,0xcd5c0701,0xe6b7ceed,0x749dfadb
650,0x8bb1b3f0,0x2645ebb1,0x80000000
651,0xd0b6bf7f,0x3b580397,0xcc9a3423
652,0x898b8673,0xeb6c7ca2,0x3580e3e0
653,0x0c7292ce,0x265043b3,0x00000000
654,0x33af3074,0x175cc0e6,0x0b9711a6
655,0x3352461f,0xefaba891,0xe38cff4b
656,0xed083d46,0xd91b05e3,0xefffffff
657,0xd556a150,0x2ff23caa,0xc5cb175a
658,0xb7326c54,0x0a3897da,0x8200a7b2
659,0x3206df54,0xaada00ad,0x9d65b511
660,0x77827b46,0xb6c23d98,0xeec601a0
661,0xe7bb93c3,0xcc4c67bd,0x7495c5c2
662,0xce06bfec,0xbd7b5286,0x4c04499c
663,0x632bdcc6,0x4a9e28db,0x6e545b5f
664,0x938ac72c,0x22c8f8a7,0x8000000e
665,0xf6b069fa,0xd94fb919,0xefffffff
666,0xd0094bb3,0xb7664d14,0x47f706b3
667,0x97123973,0x5f92642f,0xb7273bfa
668,0xaca8fb8f,0xc0808b9c,0x2da9b3de
669,0xd4d62fb0,0xf0e97077,0xefffffff
670,0x20880e69,0x353e2e4d,0x164a269b
671,0x4f365e32,0x66b98aeb,0x76842d08
672,0x8f679c26,0x1625ac3a,0x80000000
673,0xea19517a,0x4a0dc1e4,0xf4a9cbfe
674,0x6986b5c5,0x24cdf255,0x4ed8be27
675,0x8e7b2ef3,0xab6fe3df,0x0000075b
676,0xa9dca5d9,0x568d5746,0xc0f3a522
677,0x4eb5fd88,0xe6426fdb,0xf58a39a5
678,0x8ea3a043,0x2c64d64a,0x80002491
679,0xec176d28,0x68e04df8,0xefffffff
680,0xef2ae0ef,0x4ca5bf29,0xfc5d4526
681,0x1506faa0,0xa7ab2e13,0x80016907
682,0x6e3a41ea,0xf2484c65,0xefffffff
683,0xf2c1d1cc,0xb94006d1,0x6c916282
684,0xdc93c9fd,0xa0efb60b,0x3e0a62ab
685,0xb7727894,0xa5c1a727,0x1db76b39
686,0xcc003c7b,0xe9f4b1f0,0x7675258f
687,0x2030f164,0xc0edff45,0xa1a47fea
688,0x8f441d8a,0xdce3ea4f,0x2cae99b1
689,0xa32e3fb5,0xcfc075fd,0x33830017
690,0x4c24540e,0x98b607a1,0xa569b14f
691,0xd50d4e40,0x907fbcb0,0x260d2918
692,0x4ffcc8ec,0x72a88433,0xefffffff
693,0xb21cfa32,0xc005bf8e,0x32a406e3
694,0x4d1b2222,0x55238f50,0x62c63b29
695,0xed5839de,0x30100405,0xddf347e5
696,0x4bd514d2,0x2b20c059,0x3785cd1d
697,0x120beec5,0x3afd55fe,0x0d8a79fa
698,0x92b191aa,0x2ef8daf6,0x822c9cfe
699,0xbbc76ad7,0xc3ebc5ce,0x4037a929
700,0xbf03f701,0x8794966a,0x071930ad
701,0x410c6b78,0x091816b3,0x0aa6d885
702,0xe1ec266d,0x0802ebfa,0xaa718a63
703,0x726e905a,0x6caefd46,0xefffffff
704,0x4942736a,0x681c356d,0x71ed4dd3
705,0x2f49638b,0xaac2aa3b,0x9a99235a
706,0xf7a07ea6,0x46b2873f,0xfedfd9b3
707,0x9a4fb6df,0x8e9bc007,0x00000000
708,0xe8ff941d,0xe7d855de,0xefffffff
709,0xd590afb5,0x3125a5b4,0xc73b3dcc
710,0x1a5bc6ba,0x5b628cb6,0x36427e3d
711,0x69a2fa0b,0x5218e942,0x7c42b1ed
712,0xde42cfea,0x702a808b,0xefffffff
713,0x5f8b87de,0xe82b77c5,0xefffffff
714,0xa4aa686e,0x60bb58eb,0xc5f96af1
715,0xb628844e,0xc2551068,0x390c40e1
716,0x14b7096a,0x6f25f4df,0x446d504b
717,0x0e506dbc,0xc3a51a45,0x92866c1d
718,0x5293ca5c,0x36f19418,0x4a0b7700
719,0xcaf5d47f,0x0e924083,0x9a0c7123
720,0xbe5998f4,0x345950b6,0xb338b741
721,0xdb3c6959,0x3595c3b5,0xd15c72b4
722,0xa87513fb,0x7593e13e,0xde8d921b
723,0x73fd291a,0xde062370,0xefffffff
724,0xd65c354f,0x1b9bd7de,0xb2860df7
725,0x0e095f28,0x0afd7f86,0x00000000
726,0x3550341d,0x5d839ec3,0x53561793
727,0xe9134ad3,0xab005031,0x5493a71a
728,0xebd4c8ff,0x650ce943,0xefffffff
729,0xe566c35a,0x5d888a71,0xefffffff
730,0x6f140711,0x120535da,0x419a0d9f
731,0x9632c594,0x335c0e5a,0x8a19abd1
732,0xab8608e5,0xd75d926f,0x436804b3
733,0x1cab3657,0x1908a99e,0x00000006
734,0x6142535e,0x0f0610e3,0x30cb88ea
735,0xf61d5e69,0x5204248c,0xefffffff
736,0x63820eae,0x88a0f3f5,0xaca38a3a
737,0xbbd9acc1,0x33f5f24e,0xb051205d
738,0x9a74ac73,0x075988c9,0x80000000
739,0x879b6294,0x63469f2e,0xab711db8
740,0xdb24a370,0x5b832609,0xf728b031
741,0xa4f82907,0x07d2c173,0x80000000
742,0x59225195,0xb4836705,0xce26a223
743,0x302923f6,0xeec62a14,0xdf82ed9d
744,0xac1d46cd,0xc5775714,0x3217f4cf
745,0x593cc602,0x10e9e3d8,0x2aac783b
746,0x6066bab2,0x68cf899c,0xefffffff
747,0x65e7d5f4,0x650d8ed6,0xefffffff
748,0xa85d89c5,0xec096973,0x54edd3f8
749,0x6778111e,0x575cfe29,0x7f5624ff
750,0xe1b71285,0x2039d2e5,0xc284e333
751,0x4eef614d,0xb612e81b,0xc5895e88
752,0x224b1cdc,0xdcf604c2,0xbfc33181
753,0x3452076d,0x87b86f09,0x80009750
754,0xef49e94f,0xf6c16293,0xefffffff
755,0xa39ff8b9,0x49ad331a,0xadd87608
756,0x533235ff,0xd455df7f,0xe814e283
757,0x8d8b1ed3,0xba10ec68,0x081d839f
758,0x1719fbe5,0x0917edff,0x00000000
759,0x99d1c0c8,0x482f0ee0,0xa28f6ef8
760,0x4d82f480,0x2d9457f2,0x3b97c4ad
761,0xc788a994,0x77e5646a,0xefffffff
762,0x13d53496,0xb06ee05e,0x84c6f1bf
763,0xb73eabe1,0x998d3b0a,0x11526148
764,0xe9898c9d,0x564c3a05,0xefffffff
765,0xc4ae3524,0x618ed317,0xe6c2623f
766,0x6b12e4a2,0x2c8780a8,0x581b80c9
767,0x48998767,0x60fe581c,0x6a188930
768,0xcfcb69fb,0xf6b08df8,0xefffffff
769,0xb370a447,0xeaa662fe,0x5e9c6794
770,0x8c0385ec,0xd9e42266,0x266a69e4
771,0x9789fbb9,0x50a86f4f,0xa8b59260
772,0xb47e469f,0xd59e7c70,0x4a9d6b30
773,0x178ae7cd,0xbbb5a776,0x93c52183
774,0x270d6f47,0xec015482,0xd38ee786
775,0x2c9c695c,0xbbcdd952,0xa8fb8a4c
776,0xb4effb92,0xedc55944,0x63390045
777,0x1f78721f,0x29627b9a,0x095bccb4
778,0x352a2b46,0x91a7f59d,0x875f4afd
779,0xb46d6e96,0xbccc15dd,0x31bd4866
780,0x8ad0dac7,0x5a18e2a7,0xa579759f
781,0x1ccad855,0x9b2940c7,0x80000086
782,0x41bf8df2,0x53ab6a9d,0x56004397
783,0x4aceb668,0xba869450,0xc5d95679
784,0xbc53818f,0x5cb2475c,0xd9934b0a
785,0xf7c7b9b7,0x32743277,0xeabe8462
786,0x516c0ff1,0x8b915069,0x9d85ff2d
787,0x8b16db0f,0x5ce650d9,0xa887b874
788,0x3983f256,0x488a2a73,0x428e6d07
789,0xc0df5ee0,0xbe5df1fe,0x3fc1a80d
790,0x4b70ea45,0x08f56b70,0x14e6f54f
791,0xf06805e0,0x447ba072,0xf5640f2e
792,0x9d0fcdfe,0x52f648a7,0xb08a58c2
793,0x4637b534,0x4408bcc4,0x4ac43f73
794,0xcf90ae5d,0x3a1f2490,0xca33e1eb
795,0x39e2387a,0x28ebd083,0x2350621a
796,0x5c3b012e,0x748bd98f,0xefffffff
797,0x4334a651,0xbf4bc504,0xc30fcae9
798,0x2912c292,0x9299dfd9,0x80005837
799,0xd98cd5f8,0x3410f216,0xce1f7b15
800,0x6c545165,0x176a200b,0x44422cfa
801,0x0d516dd8,0x0b4b2125,0x00000000
802,0xb9c272db,0x196f1f4e,0x93b5a101
803,0xf13dc4c6,0x70671a67,0xefffffff
804,0x36f82dff,0x088d13aa,0x00446233
805,0x370d412d,0xcbd0933b,0xc3662c64
806,0x384ad156,0x398effa6,0x32629550
807,0x5a06e0c7,0x738a85aa,0xefffffff
808,0x09ebb94a,0x5b7efaa1,0x25eac89e
809,0xec32b76f,0x990d9026,0x45c5a754
810,0x774f31a2,0xd982b04e,0xefffffff
811,0x5165bb9b,0x21c39da5,0x33af8b5f
812,0x878e61cb,0xd2cfe657,0x1ae74260
813,0x3fb5e8d4,0x9abbe4ba,0x9b05839b
814,0x210c5d69,0xa91e446d,0x8aad8e57
815,0x44aeb0b0,0xda588672,0xdf93c0d3
816,0x9cf14a43,0xce2b749a,0x2ba19a81
817,0x39ef3b40,0x429b87d4,0x3d1157ce
818,0x49b1f6d5,0xb51265e8,0xbf4b8b3a
819,0xe7ad1822,0x51b55c21,0xf9f540b5
820,0x3ca3b8ff,0xf512ddba,0xf23bda9e
821,0x52bc7648,0xedb6e1a8,0xefffffff
822,0x7682df18,0xb7ad1699,0xeeb0f8a1
823,0x8f09d56b,0xdda8ba69,0x2d35b0d8
824,0xde3a15d1,0x3e3eb99b,0xdd0aa31b
825,0xe8a4a907,0x1eb59f56,0xc7e9a3fd
826,0x13b32d37,0x92700171,0x80000000
827,0x3d27e867,0x94cfd7d8,0x9288527d
828,0x9239fa7a,0xa853ad3a,0x00001339
829,0xbd3ba85e,0x9c2da00e,0x19fe8c36
830,0xe84ec562,0x6a073628,0xefffffff
831,0xa8998362,0xe229a163,0x4b4b7105
832,0x6247daeb,0x92cb404b,0xb59eacca
833,0x3d628942,0x0b007a1d,0x08e36161
834,0x1cb1fa17,0x1e07e31c,0x0000179e
835,0x66e44f30,0x1849fb12,0x3fb42217
836,0x45eb870e,0xf0010b7f,0xf66d7343
837,0xe4cf0dab,0x90a76598,0x36076416
838,0xe7659b59,0xa90eb427,0x50fffb80
839,0xd92eb9bc,0xae1c7254,0x47d58e6e
840,0xa56859c5,0x1e0463e7,0x83f051ec
841,0x8922fa61,0x0780ed09,0x80000000
842,0xd048dd08,0xbc39ffc2,0x4d11f067
843,0x17d9578d,0xa8919ebe,0x80f742b8
844,0x9caca770,0xcd6727ce,0x2a9be5ef
845,0x3a8f76e1,0x8c8cf484,0x879dfc14
846,0x2d5ecd6d,0x9f3179e0,0x8d1a761a
847,0x6f7cd92e,0x1ea9c033,0x4ea7a935
848,0x24772f4d,0xded4b960,0xc3cd662a
849,0xb6295348,0xb740519d,0x2dfe68e3
850,0xa94d717f,0xee2b95ff,0x5809b32f
851,0xd41b449a,0x621b48b5,0xf6bc5d45
852,0x33bf6ee3,0xd364952c,0xc7aaee4e
853,0x68ee8f3d,0xd383c97b,0xfcf59e1a
854,0xda0f421c,0x109d6c90,0xab303098
855,0x458f6040,0xd2c54b0b,0xd8dcfe31
856,0x191a2e42,0x0c3a46d7,0x00000000
857,0xe3188b6a,0xa0fa112a,0x4495025f
858,0xddf5d541,0x4809ff98,0xe6848491
859,0xb89bad9e,0x14345baa,0x8d5b5ba3
860,0xaf0f5e06,0x961c7bd6,0x05af454b
861,0xba80f5b5,0x9e6f9251,0x19715e32
862,0x73b0bc4b,0x315f3673,0x659a199c
863,0x5d06ad25,0x0fe7ceed,0x2d73e631
864,0x49cbeaf0,0xc41e23bf,0xce7beef2
865,0x8f541e40,0x0a18af06,0x80000000
866,0xc222949e,0x73b58581,0xf6668fb9
867,0xdd0a5c0d,0x763965f0,0xefffffff
868,0xce42e9af,0x6b9e65b6,0xfa713356
869,0xab8b6952,0x1899150f,0x84a6bad4
870,0x2da50ad2,0x9f68e89d,0x8d9627c5
871,0xb9f5b169,0x15628aad,0x8fd96bb7
872,0x250ff765,0x724f67b6,0x57e946bb
873,0x8b1864fc,0xd2f644a1,0x1e9299e5
874,0xd9b02671,0xe74eb44f,0xefffffff
875,0xc74920d7,0xae76dea4,0x3641f47a
876,0xbae0ddee,0x41601cfb,0xbcc4dba5
877,0x8e53d085,0x2f456f9e,0x80051adf
878,0x3954f9a6,0xa94fc40b,0xa32cd8f5
879,0xa5448c82,0x52ec2c7d,0xb8b553b0
880,0x29d22d35,0x41383666,0x2b973d27
881,0x1cec1364,0x1eeaebea,0x00006c52
882,0x9e427401,0x97f56fec,0x0000000c
883,0xc1604ce5,0xec611019,0x6e4531b0
884,0x307bb7c5,0x3606f606,0x2704b41a
885,0xacc0a782,0xa4a18260,0x11f316ec
886,0xc01daf93,0x4e24649f,0xceca84ea
887,0xed87285b,0xbc7f50ba,0x6a86cbd2
888,0x9cd72c49,0x90ae1918,0x00000000
889,0x3e3beff2,0x373b84e2,0x3609a9d3
890,0x987bdcef,0x9d288440,0x00000005
891,0xc87b04cc,0x9bc572e5,0x24c19b5a
892,0x93048381,0x3a078f05,0x8d8c56c2
893,0xef7fa159,0x5ce1d4d9,0xefffffff
894,0x8a1c7c1e,0xe4da370c,0x2f856358
895,0xda967128,0xec545f22,0xefffffff
896,0x562323cf,0x356d4fb4,0x4c173af1
897,0xa11902a5,0x5a1e768a,0xbbbd6cf8
898,0x28be496a,0x1774a65d,0x00b5d9a1
899,0x325ab011,0xe14dfd45,0xd42ff759
900,0xeca50095,0x3e5813e8,0xeb8b4553
901,0xef894d1e,0x5922c90e,0xefffffff
902,0x17a502ff,0xc1c8c6a9,0x9a016a65
903,0xbb317131,0x20e04158,0x9c9b7056
904,0x352d830a,0xe11bf60b,0xd6d36a35
905,0x07e4bce8,0xa63bdf22,0x80000000
906,0x6144f23f,0xf75eda57,0xefffffff
907,0x23118ef7,0x34014abb,0x17930710
908,0x1fd0086e,0x2f9b9d54,0x0ffce9e8
909,0xb5ad8395,0x2aad8370,0xa0eb3605
910,0xd780f260,0xe285eee2,0x7a86ec7e
911,0xbd194ef3,0x5f1fd8fc,0xdcbf73f5
912,0x14c95c19,0x66ba442e,0x3c12828b
913,0xd2aa7bee,0x432e149b,0xd667dbe9
914,0x90021f33,0x93dc361e,0x00000000
915,0xf30f6a0a,0x6eed926f,0xefffffff
916,0xa7ddafb3,0xdda1690e,0x460bc679
917,0x4661858d,0xf7f13edf,0xfed4861d
918,0x6b0e14e6,0x54222d52,0xefffffff
919,0xbe4ff964,0x0902a128,0x87d43f23
920,0x38d04940,0x8a543e08,0x83acaf21
921,0x5beedf11,0xe072da41,0xfce29a85
922,0x51ac1161,0x4423a2ce,0x565bf8fc
923,0x08d15a5e,0x6495109b,0x2df3ce5b
924,0xa95dd220,0x5e10997a,0xc7fa965d
925,0x5259df38,0x96c503ae,0xa9a7abe8
926,0xa2650f94,0x3add606e,0x9dc614bb
927,0x899f6d43,0x19439c4e,0x80000000
928,0x23dce61d,0xa58d49b4,0x89f3d4ae
929,0x201f2379,0xe68e5a84,0xc730fbe3
930,0x2454dd37,0x6c5bddc8,0x5136d1a7
931,0xd49c3682,0xa9d2ab1f,0x3f008d22
932,0x5bb339cb,0xee1a07a6,0xefffffff
933,0xd679fd9c,0x5a8fc318,0xf18c632e
934,0x9457ef9e,0x682c83e4,0xbd11843e
935,0xbc55be12,0xf64bec9c,0x732a4346
936,0x25accb9c,0xf14a2d44,0xd7887736
937,0x0ca60698,0x1f3b2947,0x00000000
938,0xb4902b08,0x4708619f,0xbc199bad
939,0xd41f310c,0x1f4672b3,0xb3f6ce85
940,0x88c816a9,0x299b1630,0x80000000
941,0xc4b80dc5,0xa0420826,0x258b804b
942,0xec6c9bdd,0x3e5836e8,0xeb47d642
943,0x0fef99cb,0xbef87d33,0x8f68922b
944,0xe9aa9ad8,0xae2e48d1,0x58684b8b
945,0x5bb29790,0xad3168fa,0xc977880c
946,0x1dcfef79,0xf0432766,0xce9e836a
947,0x9a305848,0x36b91305,0x917ef9cd
948,0x8ce0f2be,0x23d42414,0x80000000
949,0x0b7db38f,0x76028e70,0x42016257
950,0x6db26ae3,0xa1178562,0xcf533403
951,0x53743255,0x44ac5678,0x58a4644d
952,0x58a85910,0x8dca145c,0xa704e3aa
953,0x753798f9,0x34f5a52b,0x6ab02bda
954,0xb7cf166a,0x2227f37c,0x9a87dc95
955,0x3f92d5c9,0xa550c716,0xa56f7fc9
956,0x4c0d739f,0xc594f5fe,0xd2249d87
957,0x525146ec,0x630f4250,0x75ea39a8
958,0x683ad91a,0xf37b4177,0xefffffff
959,0x5b2f787d,0xe1db9314,0xfd9680e3
960,0x279b7011,0x8b8acd8b,0x80000000
961,0x12c54883,0xd0eb287b,0xa43538c2
962,0x3c1ba193,0x3d02df96,0x399f1ff2
963,0x1b222698,0x535fcde3,0x2f0dc207
964,0xf442f443,0x1658d294,0xcb251e76
965,0x52a7c5fd,0xe34de340,0xf686ee7a
966,0x8904d70e,0xf4e7b785,0x3e707a91
967,0x1a580295,0xb6a4f42a,0x918b2fae
968,0xe604dd84,0xe6bffcc7,0xefffffff
969,0x1986c676,0xb2aae25a,0x8cb3edea
970,0x2a279321,0xd78b96e5,0xc236bf52
971,0x5793493b,0x1c51f5f5,0x34719897
972,0x22a8e4e4,0x8890ccc8,0x80000000
973,0x513e97fd,0x3d24a79c,0x4ef52c50
974,0xe86074e8,0xac0e50e4,0x54f98f8a
975,0x64b7b226,0x4f31a66d,0x747ef330
976,0x1bdd9814,0x1401adc4,0x00000000
977,0xe09e8ce7,0xddea9708,0x7f114a55
978,0xa5bd5a8d,0x9f32ad6f,0x0584293f
979,0x2d34ff5d,0xdbc6ac79,0xc98c7773
980,0x122b8c6d,0xa5201700,0x80000036
981,0x0a1a6841,0xca54df4e,0x95006506
982,0xc0d3a780,0x8d5dcba6,0x0eb75ff9
983,0x17ec77eb,0x345172d8,0x0cc177fc
984,0xc2950ce1,0xbc24cefe,0x3f3fe98a
985,0xccb3890b,0xee7be039,0x7bb0a49e
986,0xcd89162a,0x1d6ce499,0xab7db5b1
987,0xdb4c2deb,0xb2dcae8b,0x4eb002ac
988,0xbeae9c1f,0x5a5df151,0xd9976160
989,0x1abc3480,0xad963a3e,0x88dce329
990,0x426f8ea5,0xd9c98237,0xdcbc90d9
991,0x20a7e2f9,0xf553ddef,0xd68af19f
992,0xf12c5ab9,0x2b6201e6,0xdd18295f
993,0x42862edd,0x4d24acad,0x502ca10f
994,0x6189f863,0xd03acc15,0xf24958eb
995,0x4933263f,0x0f86e3de,0x193ccaf6
996,0xd61f8e7e,0x25a5a3fd,0xbc4e7a19
997,0xcf14ec0b,0x49434de8,0xd8e33a3d
998,0xec46d7d2,0x93765f07,0x403f5d33
999,0xa6aeb292,0x926881b2,0x0000027b
